Score-Bin, Frequency
0, 0
1, 0
2, 0
3, 0
4, 0
5, 0
6, 0
7, 0
8, 0
9, 0
10, 0
11, 0
12, 0
13, 0
14, 0
15, 0
16, 0
17, 0
18, 0
19, 0
20, 0
21, 0
22, 0
23, 0
24, 0
25, 0
26, 0
27, 0
28, 1
29, 0
30, 0
31, 0
32, 2
33, 0
34, 9
35, 10
36, 14
37, 30
38, 50
39, 70
40, 114
41, 168
42, 246
43, 350
44, 402
45, 469
46, 586
47, 675
48, 761
49, 805
50, 804
51, 729
52, 736
53, 655
54, 577
55, 467
56, 402
57, 270
58, 226
59, 131
60, 100
61, 52
62, 34
63, 24
64, 19
65, 6
66, 3
67, 2
68, 1
69, 0
70, 0
71, 0
72, 0
73, 0
74, 0
75, 0
76, 0
77, 0
78, 0
79, 0
80, 0
81, 0
82, 0
83, 0
84, 0
85, 0
86, 0
87, 0
88, 0
89, 0
90, 0
91, 0
92, 0
93, 0
94, 0
95, 0
96, 0
97, 0
98, 0
99, 0
